label,basis_vector,pairwise_norms,max_pairwise_norm
alphatensor_rank23,b0,W_0-W_1=2.236068; W_1-W_2=0.577350,2.2360679774997902
alphatensor_rank23,b1,W_0-W_1=2.236068; W_1-W_2=2.449490,2.4494897427831783
alphatensor_rank23,b2,W_0-W_1=3.000000; W_1-W_2=1.290994,3.0000000000000004
alphatensor_rank23,b3,W_0-W_1=1.290994; W_1-W_2=0.816497,1.2909944487358058
alphatensor_rank23,b4,W_0-W_1=2.366432; W_1-W_2=1.000000,2.3664319132398464
alphatensor_rank23,b5,W_0-W_1=3.605551; W_1-W_2=1.732051,3.60555127546399
alphatensor_rank23,b6,W_0-W_1=1.732051; W_1-W_2=1.000000,1.7320508075688772
alphatensor_rank23,b7,W_0-W_1=2.144761; W_1-W_2=1.183216,2.1447610589527217
alphatensor_rank23,b8,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
alphatensor_rank23,b9,W_0-W_1=2.500000; W_1-W_2=0.500000,2.5
alphatensor_rank23,b10,W_0-W_1=2.291288; W_1-W_2=1.000000,2.29128784747792
alphatensor_rank23,b11,W_0-W_1=3.559026; W_1-W_2=1.825742,3.5590260840104375
alphatensor_rank23,b12,W_0-W_1=2.061553; W_1-W_2=1.224745,2.0615528128088303
alphatensor_rank23,b13,W_0-W_1=2.397916; W_1-W_2=1.224745,2.3979157616563596
standard_rank27,b0,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b1,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b2,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b3,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b4,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b5,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b6,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b7,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b8,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b9,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b10,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b11,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b12,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b13,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b14,W_0-W_1=1.414214; W_1-W_2=0.707107,1.414213562373095
standard_rank27,b15,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b16,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
standard_rank27,b17,W_0-W_1=0.707107; W_1-W_2=0.707107,0.7071067811865475
strassen_2x2,b0,W_0-W_1=1.414214,1.4142135623730951
strassen_2x2,b1,W_0-W_1=1.414214,1.4142135623730951
strassen_2x2,b2,W_0-W_1=2.943920,2.9439202887759492
